market,tipo,caratteri
V005,due,269044
V005,quattro,0
V005,tre,37198
V005,uno,416632
V007,due,25678
V007,quattro,0
V007,tre,0
V007,uno,71802
V008,due,73745
V008,quattro,0
V008,tre,0
V008,uno,159742
V009,due,72951
V009,quattro,0
V009,tre,6227
V009,uno,109589
V010,due,36653
V010,quattro,0
V010,tre,0
V010,uno,157175
V011,due,197163
V011,quattro,0
V011,tre,2674
V011,uno,202220
V013,due,241064
V013,quattro,27282
V013,tre,249869
V013,uno,254069
V014,due,215713
V014,quattro,0
V014,tre,87853
V014,uno,221544
V016,due,-7027
V016,quattro,1605
V016,tre,14432
V016,uno,58141
V018,due,0
V018,quattro,0
V018,tre,0
V018,uno,146279
V019,due,118096
V019,quattro,2989
V019,tre,32518
V019,uno,155740
V021,due,225438
V021,quattro,0
V021,tre,38245
V021,uno,323067